row	col	company	before	after
1909	7	Home R Us UAE	Home Accessories 	Home Accessories
1918	7	Home R Us UAE	Lighting 	Lighting
1998	7	OC Home UAE	Lighting 	Lighting
2010	7	OC Home UAE	Wall Decor 	Wall Decor
2014	6	OC Home UAE	Decor & Arts 	Decor & Arts
2015	6	OC Home UAE	Kitchen & Dining  Drinkware	Kitchen & Dining Drinkware
2020	6	Tavola UAE	 Tableware	Tableware
2028	6	Tavola UAE	 Homeware	Homeware
2273	7	Target Australia	 Pots	Pots
2274	7	Target Australia	 Plant Stands	Plant Stands
2282	7	Target Australia	 Bedside Lamp	Bedside Lamp
2286	7	Target Australia	 Cups & Mugs	Cups & Mugs
2354	7	David Jones Home	 Beer	Beer
2357	7	David Jones Home	 Flutes	Flutes
2358	7	David Jones Home	 Cocktail	Cocktail
2359	7	David Jones Home	 Margarita	Margarita
2361	7	David Jones Home	  Specialty	Specialty
2362	7	David Jones Home	 Spirit	Spirit
2363	7	David Jones Home	 Gin	Gin
2364	7	David Jones Home	  Shot	Shot
2366	7	David Jones Home	 Tumblers	Tumblers
2367	7	David Jones Home	 Tumblers  Short	Tumblers Short
2368	7	David Jones Home	  Tall	Tall
